id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
0aca483b-0a69-4ef9-b4bb-6e0c665c34ec,Obyčajní ľudia a nezávislé osobnosti,2022-08-16T15:24:29.992Z,63428392-56fa-475c-ae60-a102f2f24ec4,OLaNO,true,true,Slovakia,sk,150674111712306,Obyčajní ľudia a nezávislé osobnosti,Facebook
818db150-0320-442e-beaa-73f394b8cc5a,Sloboda a Solidarita,2022-08-16T15:24:29.992Z,fcff14c6-9087-4a6a-818d-1ba7095f6e15,SASKA,true,true,Slovakia,sk,71030757230,Sloboda a Solidarita,Facebook
ffcb0c1d-eb66-4bd6-b090-743882a01b39,SME RODINA – Boris Kollár,2022-08-16T15:24:30.141Z,f1f583d7-9236-4f67-9356-6a9e9b29cf05,SR,true,true,Slovakia,sk,600235073447674,SME RODINA – Boris Kollár,Facebook
9d24f1d6-f8a3-45d5-aad8-aa2531f96279,Smer – sociálna demokracia,2022-08-16T15:24:29.992Z,0278b18a-4c2a-432d-b877-6b3878dc8ba2,SMER,true,true,Slovakia,sk,102146246492040,Smer – sociálna demokracia,Facebook
9996d8f2-87bc-43f8-a974-9b86cf2e80d5,Ľudová strana – Naše Slovensko,2022-08-16T15:24:30.124Z,503ca22c-bc4c-4096-adb0-0281beedc856,LSNS,true,true,Slovakia,sk,430688657123374,Ľudová strana – Naše Slovensko,Facebook
a5f7e9ba-b4c0-40bf-853e-f948cb399067,Most–Híd,2022-08-16T15:24:30.141Z,21865566-39e1-412b-a841-be66a4a795e0,Mod,true,true,Slovakia,sk,353195602108,Most–Híd,Facebook
4ee52afb-30d9-488c-aa78-f42f6134791e,Slovenská národná strana,2022-08-16T15:24:30.126Z,e26d972d-c1cd-4c46-8331-81b173c3b3c4,SNS,true,true,Slovakia,sk,121130481252381,Slovenská národná strana,Facebook
41d3c78e-ba35-4599-a454-0bf0034f8a45,KDH,2023-02-09T06:29:42.419Z,ef34dd26-3288-44ca-aa4b-5c3c4f488501,Ost,true,true,Slovakia,sk,163449818290,KDH,Facebook
135bc9a1-e50f-4d23-a885-6fd6384a3092,Richard Vašečka,2023-02-10T10:55:19.532Z,e3f9f19f-d058-4865-88f6-21d566e3a33a,Ost,true,true,Slovakia,sk,168813446552680,Richard Vašečka,Facebook
6244dac1-a1ee-46e0-b72b-87fcfdddbb33,Vladimír Ledecký,2023-02-10T10:55:19.611Z,82c261db-8870-490e-8211-dac9d8a7426a,SASKA,true,true,Slovakia,sk,104209377829196,Vladimír Ledecký,Facebook
19cd55df-d8d0-4b5c-8d78-733b9902d1df,Vladimír Bilčík,2023-02-10T10:55:19.604Z,3eea88df-f762-4deb-a750-0e195792fdad,Ost,true,true,Slovakia,sk,1501859650125625,Vladimír Bilčík,Facebook
aca00145-cb5a-4bbe-95ed-82f9e0678b3e,Martin Hojsík,2023-02-08T06:22:46.772Z,a43b4f6c-41f1-4f72-b669-abddaf59c569,PS,true,true,Slovakia,sk,147166706140048,Martin Hojsík,Facebook
d3e07808-1c80-460d-ab61-a7d5b0d04012,Adam Žilák,2023-02-09T06:29:42.556Z,027beb5f-77d6-484b-8f22-1dac60d519c6,Ost,true,true,Slovakia,sk,107123088175118,Adam Žilák,Facebook
d1dd0f3c-e475-4d1e-b27f-6ee157f41743,Milan Majerský,2023-02-09T06:29:42.419Z,ca52f793-b828-4ab8-9791-1dc4561d3954,Ost,true,true,Slovakia,sk,309315359104222,Milan Majerský,Facebook
b1582e59-6e5d-44f3-b8e8-754a16cfd73e,Tomáš Merašický,2023-02-09T06:29:42.535Z,9390d0a7-c69c-4055-ac93-67fe09616189,Ost,true,true,Slovakia,sk,103010318316057,Tomáš Merašický,Facebook
7fbd7293-4c3b-495e-81b7-1cdc3fa34c28,Miriam Lexmann,2023-02-12T10:55:05.166Z,cf5b7185-5b99-4066-8cde-59aab2e35672,Ost,true,true,Slovakia,sk,594790970995799,Miriam Lexmann,Facebook
8fe84ddb-38a3-4e66-8ad5-b1c984752ee4,Bauer Ildikó,2023-02-12T10:55:05.184Z,98bc3ee6-332b-47d4-a056-179a40faaad9,Ost,true,true,Slovakia,sk,269221090588670,Bauer Ildikó,Facebook
4f749098-19dc-4e57-9e14-27380fbc39eb,Sloboda vierovyznania a presvedčenia,2023-02-12T10:55:05.163Z,3caac4ca-31f7-4502-acd6-169f4dc06551,Vlá,true,true,Slovakia,sk,106288718665197,Sloboda vierovyznania a presvedčenia,Facebook
11a88c17-46e5-4cd5-9dfd-0d3a6edd96df,Szövetség - Összefogás Platform,2023-02-12T10:55:05.186Z,0abfd413-1c68-48fd-a809-cd0f264506cb,Ost,true,true,Slovakia,sk,109216190454517,Szövetség - Összefogás Platform,Facebook
962a1a72-5fc5-4108-8d9e-0b09d2d1b41c,Cziprusz Zoltán,2023-02-12T10:55:05.134Z,f27f7a60-d0b0-4606-b5b5-4652745346ca,Ost,true,true,Slovakia,sk,1625320827727426,Cziprusz Zoltán,Facebook
0a91d6db-167d-44a3-b6c3-b31e85dab7ce,Richard Glück,2023-02-12T10:55:05.239Z,fb5db1ba-7ba9-4d0f-9555-1e1a89de4e26,SMER,true,true,Slovakia,sk,105696625616469,Richard Glück,Facebook
fe534ae0-705d-4da0-9be3-2cca07624486,Richard Takáč - poslanec NR SR,2023-02-12T10:55:05.142Z,94a9acbe-a18f-40c5-93d2-af24794c6618,SMER,true,true,Slovakia,sk,1555021474808039,Richard Takáč - poslanec NR SR,Facebook
38fedea8-2615-49dc-a57e-930a24f0e75c,Ľudovít Paulis - Veda a výskum,2023-02-12T10:55:05.151Z,b60be270-9aa6-447a-8497-dbee01783145,SASKA,true,true,Slovakia,sk,114145753581158,Ľudovít Paulis - Veda a výskum,Facebook
478ceb26-16ae-44f7-8ba0-98bf97566c29,Ministerstvo kultúry Slovenskej republiky,2023-02-10T10:55:19.603Z,05c08a42-5eb3-4f55-bd47-d5faaf9848ea,Vlá,true,true,Slovakia,sk,156804601028134,Ministerstvo kultúry Slovenskej republiky,Facebook
a0dd53bb-9184-4381-9397-48d91e11af18,Úrad na ochranu oznamovateľov,2023-02-10T10:55:19.628Z,1ef6454b-1437-4ec1-9768-d350f831203d,Vlá,true,true,Slovakia,sk,104936221959583,Úrad na ochranu oznamovateľov,Facebook
d7679939-4767-4314-929a-ea0c61a63010,Peter Blaškovitš,2023-02-10T10:55:19.666Z,b199856c-fe09-4bf5-8ad2-d62adee345c3,Ost,true,true,Slovakia,sk,105354890829567,Peter Blaškovitš,Facebook
d82c5e75-49a1-4c82-b2d9-83836c1f5571,Nagy József,2023-02-11T10:54:57.226Z,2670d431-8389-4ebf-85c0-859c3c3a3564,Ost,true,true,Slovakia,sk,128401833854581,Nagy József,Facebook
0338e7a2-3201-48af-94fc-d61ba1a0c254,Tomáš Šudík,2023-02-11T10:54:57.399Z,f5307044-5d75-41cd-9e89-5644c25e2a7a,OLaNO,true,true,Slovakia,sk,272361053251921,Tomáš Šudík,Facebook
74c55256-1642-4719-a503-bff1dfdccbf8,Ján Karol - HLAS - sociálna demokracia,2023-02-11T10:54:57.333Z,5488b797-9b17-499f-aa13-c834109a9e19,HLAS,true,true,Slovakia,sk,112929294494602,Ján Karol - HLAS - sociálna demokracia,Facebook
81b58c44-b17d-4aee-be4a-e44a00ea08f3,Juraj Jevin,2023-02-11T10:54:57.409Z,60223b48-8728-44b5-9f3e-c351d32ce070,SASKA,true,true,Slovakia,sk,592672254111957,Juraj Jevin,Facebook
33d5a82b-c852-47b8-a8c6-658927b95481,Pavol Slota • DOMOV - Národná strana,2023-02-13T10:55:21.233Z,dd22ba22-4ffe-40c0-aa86-accbf9e03e3e,Ost,true,true,Slovakia,sk,608493236475568,Pavol Slota • DOMOV - Národná strana,Facebook
d924a742-a025-4d9c-94af-b8b5cb8b8c6d,Spolu sme Sobota,2023-02-13T10:55:21.254Z,8b7b8037-b2ee-4dfd-9ae4-11fa638771d0,Ost,true,true,Slovakia,sk,255902481771819,Spolu sme Sobota,Facebook
c5d3402f-6a34-40c1-a473-b05da2a241f5,Michal Šimečka • Progresívne Slovensko,2023-02-08T05:55:41.648Z,317f3ff4-f34d-4514-a5f0-4bdbad5306d7,PS,true,true,Slovakia,sk,194278021265803,Michal Šimečka • Progresívne Slovensko,Facebook
965e40c8-0d76-4cbf-b5b4-2c43445e19c2,Jakub Bodorík - poslanec mesta Zvolen,2023-02-13T10:55:21.218Z,a2372850-c01b-44f9-b52e-1f0879f29037,Ost,true,true,Slovakia,sk,108127562038196,Jakub Bodorík - poslanec mesta Zvolen,Facebook
501d4ee5-a844-4df3-9429-db583010b973,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR",2023-02-08T05:55:41.648Z,7abad2fe-b107-4e03-a02a-34afddeac7bd,Vlá,true,true,Slovakia,sk,409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR",Facebook
630f8875-1ac0-4c0d-a2b0-2ba1985b737e,Gyimesi György - NRSR,2023-02-08T05:55:41.660Z,0666fa47-9a8c-4248-a47c-b5d5b02d959c,OLaNO,true,true,Slovakia,sk,102200698451761,Gyimesi György - NRSR,Facebook
